,order_id,customer_id,product_id,quantity,cost,order_date
0,621d6512-559f-4526-a999-c78ffa207fa4,68a7ed5c-4db3-42b9-9b5c-7141d685619b,product_61,7,318.68,2024-05-20
1,1918354b-d91a-4785-9a7d-67b11e932776,f70880df-647c-41cd-8c7b-50c16a3c0b71,product_65,1,291.65,2024-02-18
2,d8e778a1-7622-48e0-b572-5695e7063f7b,309c799e-2509-4f76-9ece-67e6d76bd4e3,product_89,7,26.46,2024-02-07
3,17f5f211-a7be-4b07-b055-bf93d30363a5,01eeea86-a7fb-48ab-bb4a-657cd177bbd8,product_80,10,185.4,2024-04-27
4,03c114fa-bc67-4fbf-8a73-16dd39d43d6c,0626ea0c-4e31-4426-839e-fb7e74aac9a5,product_82,10,116.05,2024-07-11
5,140667d4-f250-4423-83ad-c95b2d01455c,52b7fa99-c68f-4384-acf9-52a369950461,product_91,8,244.72,2024-03-15
6,54e11da4-84ad-4c73-ba7a-1c0c8b42d938,b13c0c34-a81c-419c-88be-f594582a03f3,product_75,7,140.04,2024-02-04
7,19736439-5dc0-4695-b464-2dbc30518b17,8b20602b-2110-4289-85ba-62c222e2a673,product_83,4,312.99,2024-04-14
8,ae2c36e5-b8e9-4222-ac2c-0ddd9831357e,e8cd4a6f-1ab3-46af-a1dd-096d1eef24d0,product_27,8,145.06,2024-05-13
9,70d386c7-5296-4d18-8193-ae8b68f325c2,a65d8f99-f466-44cb-bb25-ed6df821d349,product_39,1,118.83,2024-06-15
10,fa77011f-26d0-46f4-9e2c-44e0e3c5fe9e,9681e1c1-caf0-4cea-8733-7664467c61b5,product_83,1,486.57,2024-05-25
11,0fbbbfee-a25a-4cc2-973a-2a68c6b7a083,05820a6f-ca91-4de4-b280-8915088e5bf6,product_8,6,423.09,2024-03-10
12,bbf9fca2-4758-4ec7-a533-7a22e9a54b06,30cfaaee-f798-46e3-ad13-f17a4ff58aca,product_76,7,53.6,2024-02-29
13,adf193e3-7660-4789-b2ce-a540e0541dd8,8e56a6b3-bdd0-4194-a24d-b167d2ef9b92,product_74,1,193.52,2024-01-04
14,d438568b-8f3e-49ce-a542-4f5e03717471,0a0bf8c1-5011-4270-8c1b-b23eedf94dd4,product_2,8,294.24,2024-03-22
15,f09c4b9f-8b1b-4541-a59b-81b600d5233e,5940aa74-810c-40ae-b86a-51126dfe76f0,product_82,3,485.04,2024-03-13
16,6a493f7c-6557-489f-bdbe-da0b5a598925,acf567af-31c6-4bc2-bf82-11a2f126711c,product_42,1,178.01,2024-01-19
17,7c219140-f642-4b35-b3b9-18c860335fb1,f0c854e6-d6b2-4acb-abfb-29d1cfbadde7,product_47,10,272.33,2024-05-31
18,ac82032f-38f4-434d-8eb1-6023fae0a315,515adcfe-d3f7-4e3f-8cde-54ba9e76fb73,product_100,5,192.86,2024-03-01
19,4b3bf30d-d3f8-45a5-a093-b73c68ab431e,3e0dde05-82de-4266-b0a0-39b53ab17faa,product_89,5,398.28,2024-02-29
20,321409a6-b7fc-49fb-8ae1-76058fe4b3a1,008630b9-d0ed-433e-8bcd-e94f51e8a0f2,product_64,10,247.82,2024-01-21
21,dfee1673-79e3-48d8-95b3-fd889866b2d4,48f9c527-98ec-4cd9-96af-9df72979e708,product_68,1,285.12,2024-04-22
22,1ba02aa9-53f7-43a4-9fbc-46460858e45a,8d8a616f-7390-481c-bd52-b7cc7b914802,product_37,1,316.87,2024-02-22
23,af8bbc26-2ff3-4943-a281-998561d63410,ca633268-29e5-4538-98a2-1e470b0c15ea,product_58,10,234.42,2024-03-12
24,7dc4333f-2aa5-4f60-a3c4-f77e4a25f632,a6cc9827-5789-4f9f-a0a4-8d9bfb01d4b6,product_20,1,21.19,2024-05-30
25,6b994aae-1709-45e3-9f2d-69319a4ce7fc,8500e57c-0fad-4166-b1f2-fef788e3ff31,product_21,3,388.26,2024-07-03
26,83905e76-d3ba-4b1d-839d-016c63c111ee,ccaeb9dc-02aa-4c84-b149-ce881385ba4f,product_84,4,412.01,2024-05-26
27,a84687fa-384c-4d9a-b740-ea7bfafddaf6,68a7ed5c-4db3-42b9-9b5c-7141d685619b,product_1,2,204.25,2024-05-16
28,bb7cb2dd-dd29-47b4-bc0f-c9464e4b935a,30ea3b24-47a7-46be-81e6-4421069ac563,product_97,6,370.1,2024-02-26
29,d3ec856b-e80a-4f76-bce2-edf8731ca80b,71db4b53-2cf0-4971-bf67-ba9165a3a2d9,product_98,10,426.11,2024-04-03
30,229387e4-75fe-4e88-9a9b-3f79bbde067f,06bf0aa4-a0ca-4c72-8efe-161be1fc8f1f,product_89,9,83.74,2024-04-30
31,95e652f6-374b-435a-83b9-ec0702c6b1cc,a39ddecb-67e4-4edd-bf30-48b89d87b0e9,product_82,4,408.23,2024-01-30
32,6eee9823-74d8-4485-94d7-afaf2dcd079e,b4b515ab-e84c-4590-8d7f-c0d40f9243af,product_91,3,84.52,2024-02-29
33,5f833ddd-5839-441c-80c5-3e6f1d500f4a,959b20ce-9d13-43ba-a492-bcfb99023164,product_79,8,258.6,2024-03-20
34,3eb74006-a9d4-458a-85b3-e0a6a36022d2,099dd2c1-7050-47a0-ace6-aeb06dd8c5c7,product_4,5,257.2,2024-03-26
35,a476446f-1ed5-4682-8daa-ed91c41713aa,837b91ee-88f9-4efa-930b-950773b74d80,product_43,8,40.53,2024-06-22
36,90ffcaf4-0600-4ec7-a59a-1691cb54b591,5822be63-a4bb-4e7a-ae7d-a18bb18d983d,product_78,9,465.65,2024-06-02
37,721c9374-0f3e-49fc-af79-ca600732ee7b,008630b9-d0ed-433e-8bcd-e94f51e8a0f2,product_100,10,406.96,2024-02-05
38,b01632d7-9f89-4f06-810c-a6e142a7ec63,568ffe94-205a-4dd0-85e2-6f9796d6143b,product_9,10,17.54,2024-02-05
39,5aa43411-8d6d-4d72-a084-f5f863302ce8,0c81de3a-2305-4957-a8e2-5f4f0b2c6d02,product_1,5,478.17,2024-03-25
40,243ddba3-6b0b-4d4b-82f9-df502d6e7786,7e42ac91-10ef-412a-bd7d-4ee5d65a708f,product_64,5,281.85,2024-02-03
41,6fcbbc87-c13b-457e-a12f-adca57cabc25,fca784ae-de73-400b-a4de-03b11971f7bc,product_91,6,474.57,2024-05-29
42,6182ebd1-bc9b-4853-b98e-319bd58819d2,762e02d6-7ef9-475b-8237-8b4cf0511a28,product_38,5,406.76,2024-06-14
43,838e768a-f24a-4dcd-b8ad-3d29f467128a,c3847053-33f3-434c-8047-aa593e9ccf3b,product_28,6,50.16,2024-01-01
